Study,Study_al,Crit.Cat,effect.size,SE,var.eff.size,Weight,95_CI,CI_LL,CI_UL,phi,ICC,nu,pub.year,CEC1,CEC2,CEC3,CEC4,CEC5,CEC6,CEC7,CEC8,setting1.1,demo2.1,disab2.2,agent3.1,train3.2,proce4.1,mater4.2,adher5.1,dosage5.2,regul5.3,iv6.1,base6.2,no.acc6.3,thr.demo6.4,thr.base6.5,int.val6.6,soci7.1,measu7.2,grah.measu7.3,freq7.4,irr7.5,grah.all8.1,CEC.total,CEC.cnl,OA,NF,G,RP,NS,EE,CCSSM_Content,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8,CCSSM_Practice,MP1.2.3.4.5.6.7,MP1.2.3.4.5.6,MP1.2.4.5.6,MP1.2.4.5.6.7,MP2.4.5
Montague (1992),Montague (1992) MSI,"Whole numbers or decimals (MSI): A, S, M, D",1.521,1.768,3.126,0.32,"[-1.526, 4.914]",-1.526,4.914,-0.697,0.087,5.742,1992,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,-1.56,0,0,0,0,0,1,EE,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Montague (1992),Montague (1992) CMSI,"Whole numbers or decimals (CMSI): A, S, M, D",2.308,0.499,0.249,4.013,"[1.421, 3.336]",1.421,3.336,-0.034,0.174,21.821,1992,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,-1.56,0,0,0,0,0,1,EE,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Montague & Bos (1986),Montague & Bos (1986),"Whole numbers: A, S, M, D",2.265,0.63,0.397,2.517,"[1.260, 3.598]",1.26,3.598,-0.149,0.63,10.605,1986,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,18,-2.56,1,0,0,0,0,0,OA,1,1,0,1,1,1,0,0,MP1.2.4.5.6,0,0,1,0,0
Peltier et al. (2020) ,Peltier et al. (2019) Addition and subtraction of whole numbers ,"Whole numbers: A, S",4.907,1.04,1.081,0.925,"[2.981, 7.010]",2.981,7.01,-0.031,0.001,33.447,2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1.44,1,0,0,0,0,0,OA,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
Satsangi et al. (2019) ,"Satsangi, Hammer, & Hogan (2019) Explicit instruction",Area and perimeter of squares and rectangles (EI),16.418,2.422,5.864,0.171,"[12.257, 21.535]",12.257,21.535,-0.084,0.0000004,26.322,2019,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,1,0,0,0,G,0,1,0,1,1,0,0,0,MP2.4.5,0,0,0,0,1
Satsangi et al. (2019) ,"Satsangi, Hammer, & Hogan (2019) Video modeling",Area and perimeter of squares and rectangles (VM),18.07,4.272,18.247,0.055,"[11.404, 27.236]",11.404,27.236,-0.708,0.003,11.709,2019,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,1,0,0,0,G,0,1,0,1,1,0,0,0,MP2.4.5,0,0,0,0,1
Satsangi et al. (2020),"Satsangi, Hammer, & Bouck (2019) Area and perimeter of squares and rectangles",Area and perimeter of squares and rectangles,7.477,1.406,1.978,0.506,"[5.075, 10.434]",5.075,10.434,-0.272,0.087,19.817,2019,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,1,0,0,0,G,0,1,0,1,1,0,0,0,MP2.4.5,0,0,0,0,1
Scheuermann et al. (2009) ,Scheuermann et al. (2009) Instructed problems ,One-variable equations (instructed problems),7.691,1.626,2.643,0.378,"[5.075, 11.167]",5.075,11.167,-0.015,0.724,14.152,2009,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,-1.56,0,0,0,0,0,1,EE,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Scheuermann et al. (2009) ,Scheuermann et al. (2009) Uninstructed problems ,One-variable equations (uninstructed problems),6.778,1.368,1.871,0.535,"[4.328, 9.591]",4.328,9.591,-0.227,0.484,24.681,2009,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,-1.56,0,0,0,0,0,1,EE,1,1,1,1,1,1,0,0,MP1.2.3.4.5.6,0,1,0,0,0
Sharp & Dennis (2017) ,Sharp & Dennis (2017) Comparing and ordering fractions,Comparing and ordering fractions,12.418,2.892,8.362,0.12,"[7.843, 18.604]",7.843,18.604,0.531,0.001,12.296,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1.44,0,1,0,0,0,0,NF,1,1,1,1,1,1,1,0,MP1.2.3.4.5.6.7,1,0,0,0,0
Shin & Bryant (2017) ,Shin & Bryant (2017) Multiplication of fractions,Fractions: M,2.954,1.241,1.541,0.649,"[0.785, 5.470]",0.785,5.47,-0.1,0.181,10.943,2017,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,1,0,0,0,0,NF,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
van Garderen (2007) ,van Garderen (2007) One- and two-step four operations of whole numbers and decimals,"Whole numbers and decimals: A, S, M, D",3.046,0.649,0.422,2.372,"[1.883, 4.380]",1.883,4.38,-0.142,0.019,23.422,2007,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,0.44,0,0,0,0,0,1,EE,1,1,0,1,1,1,1,0,MP1.2.4.5.6.7,0,0,0,1,0
