case,session,phase,outcome
1,1,A,3
1,2,A,4
1,3,A,4
1,4,A,4
1,5,A,4
1,6,B,7
1,7,B,7
1,8,B,8
1,9,B,9
1,10,B,10
1,11,B,9
1,12,B,10
1,13,B,10
1,14,B,9
1,15,B,10
1,16,B,10
1,17,B,10
2,1,A,3
2,2,A,3
2,3,A,2
2,4,A,4
2,5,A,3
2,6,A,3
2,7,A,1
2,8,A,1
2,9,A,2
2,10,B,8
2,11,B,9
2,12,B,10
2,13,B,10
2,14,B,9
2,15,B,10
2,16,B,9
2,17,B,9
3,1,A,2
3,2,A,2
3,3,A,2
3,4,A,3
3,5,A,1
3,6,A,2
3,7,A,1
3,8,A,2
3,9,A,2
3,10,A,2
3,11,A,2
3,12,A,1
3,13,A,2
3,14,B,9
3,15,B,9
3,16,B,9
3,17,B,9
