case,session,phase,outcome
1,1,A,0
1,2,A,0
1,3,A,0
1,4,B,18
1,5,B,38
1,6,B,92
1,7,B,91
1,8,B,100
1,9,B,80
1,10,B,90
2,1,A,0
2,2,A,0
2,3,A,0
2,4,B,23
2,5,B,89
2,6,B,30
2,7,B,91
2,8,B,79
2,9,B,90
2,10,B,86
3,1,A,0
3,2,A,8
3,3,A,5
3,4,B,30
3,5,B,57
3,6,B,46
3,7,B,75
3,8,B,81
3,9,B,100
3,10,B,100
