case,session,phase,outcome
1,1,A,59
1,2,A,68
1,3,A,92
1,4,B,82
1,5,B,82
1,6,B,98
1,7,B,81
1,8,B,90
2,1,A,43
2,2,A,67
2,3,A,49
2,4,B,83
2,5,B,67
2,6,B,50
2,7,B,84
2,8,B,65
3,1,A,48
3,2,A,65
3,3,A,33
3,4,A,49
3,5,B,48
3,6,B,83
3,7,B,59
3,8,B,57
3,9,B,66
3,10,B,94
4,1,A,50
4,2,A,57
4,3,A,32
4,4,B,85
4,5,B,49
4,6,B,83
4,7,B,100
4,8,B,91
