case,session,phase,outcome
1,1,A,3
1,2,A,10
1,3,A,51
1,4,A,51
1,5,B,89
1,6,B,100
1,7,B,100
1,8,B,100
1,9,B,100
1,10,B,100
2,1,A,2
2,2,A,50
2,3,A,50
2,4,A,36
2,5,B,100
2,6,B,100
2,7,B,92
2,8,B,92
2,9,B,100
2,10,B,91
3,1,A,19
3,2,A,3
3,3,A,98
3,4,A,73
3,5,B,89
3,6,B,98
3,7,B,99
3,8,B,92
3,9,B,76
3,10,B,99
