case,session,phase,outcome
1,1,A,4
1,2,A,4
1,3,A,4
1,4,B,9
1,5,B,8
1,6,B,6
1,7,B,4
2,1,A,2
2,2,A,5
2,3,A,3
2,4,B,2
2,5,B,6
2,6,B,4
3,1,A,2
3,2,A,2
3,3,A,4
3,4,B,4
3,5,B,6
3,6,B,5
