case,session,time,phase,outcome
1,1,0,A,4
1,2,1,A,6
1,3,2,A,3
1,4,3,B,5
1,5,4,B,6
1,6,5,B,5
1,7,6,B,4
2,1,0,A,3
2,2,1,A,3
2,3,2,A,4
2,4,3,B,3
2,5,4,B,8
2,6,5,B,4
3,1,0,A,1
3,2,1,A,3
3,3,2,A,3
3,4,3,B,3
3,5,4,B,3
3,6,5,B,2
