case,session,phase,outcome
1,1,A,0
1,2,A,0
1,3,A,0
1,4,A,0
1,5,A,0
1,6,B,100
1,7,B,100
1,8,B,100
1,9,B,80
1,10,B,60
1,11,B,100
2,1,A,40
2,2,A,0
2,3,A,0
2,4,A,0
2,5,A,0
2,6,B,100
2,7,B,100
2,8,B,100
2,9,B,100
2,10,B,100
3,1,A,0
3,2,A,0
3,3,A,0
3,4,A,0
3,5,A,0
3,6,B,100
3,7,B,80
3,8,B,100
3,9,B,80
3,10,B,100
