case,session,phase,outcome
1,1,A,4
1,2,A,6
1,3,A,3
1,4,B,7
1,5,B,7
1,6,B,8
1,7,B,7
2,1,A,3
2,2,A,3
2,3,A,4
2,4,B,7
2,5,B,9
2,6,B,7
2,7,B,8
3,1,A,1
3,2,A,3
3,3,A,3
3,4,B,5
3,5,B,3
3,6,B,5
3,7,B,3
3,8,B,3
3,9,B,4
3,10,B,6
3,11,B,5
4,1,A,4
4,2,A,4
4,3,A,4
4,4,B,8
4,5,B,8
4,6,B,5
4,7,B,7
4,8,B,9
4,9,B,7
5,1,A,2
5,2,A,5
5,3,A,3
5,4,B,5
5,5,B,8
5,6,B,7
5,7,B,8
5,8,B,6
5,9,B,6
5,10,B,9
5,11,B,8
6,1,A,2
6,2,A,2
6,3,A,4
6,4,B,8
6,5,B,4
6,6,B,8
6,7,B,5
6,8,B,3
6,9,B,7
6,10,B,8
6,11,B,8
6,12,B,5
6,13,B,6
