case,session,phase,outcome
1,1,A,36
1,2,A,31
1,3,A,19
1,4,A,18
1,5,B,93
1,6,B,83
1,7,B,87
1,8,B,92
1,9,B,92
1,10,B,96
2,1,A,57
2,2,A,43
2,3,A,43
2,4,A,44
2,5,B,76
2,6,B,76
2,7,B,83
2,8,B,49
2,9,B,94
2,10,B,85
3,1,A,41
3,2,A,10
3,3,A,25
3,4,A,47
3,5,B,98
3,6,B,88
3,7,B,88
3,8,B,80
3,9,B,66
3,10,B,96
