case,session,time,phase,outcome
1,1,0,A,34
1,2,1,A,29
1,3,2,A,32
1,4,3,A,36
1,5,4,A,37
1,6,5,A,34
1,7,6,B,71
1,8,7,B,98
1,9,8,B,89
1,10,9,B,99
1,11,10,B,98
2,1,0,A,35
2,2,1,A,49
2,3,2,A,55
2,4,3,A,44
2,5,4,A,35
2,6,5,B,84
2,7,6,B,87
2,8,7,B,80
2,9,8,B,97
2,10,9,B,94
3,1,0,A,14
3,2,1,A,13
3,3,2,A,9
3,4,3,A,17
3,5,4,A,0
3,6,5,B,40
3,7,6,B,69
3,8,7,B,80
3,9,8,B,93
3,10,9,B,78
