case,session,phase,outcome
1,1,A,25
1,2,A,37
1,3,A,25
1,4,B,50
1,5,B,63
1,6,B,63
1,7,B,87
1,8,B,75
1,9,B,99
1,10,B,63
1,11,B,75
1,12,B,75
1,13,B,75
1,14,B,75
2,1,A,25
2,2,A,63
2,3,A,50
2,4,A,37
2,5,B,62
2,6,B,75
2,7,B,88
2,8,B,88
2,9,B,37
2,10,B,88
2,11,B,88
2,12,B,75
2,13,B,88
3,1,A,25
3,2,A,51
3,3,A,25
3,4,A,63
3,5,A,38
3,6,B,25
3,7,B,76
3,8,B,63
3,9,B,88
3,10,B,76
3,11,B,76
3,12,B,63
3,13,B,75
3,14,B,88
3,15,B,75
3,16,B,75
