case,session,time,phase,outcome
1,1,0,A,20
1,2,1,A,20
1,3,2,A,0
1,4,3,B,40
1,5,4,B,60
1,6,5,B,40
1,7,6,B,60
1,8,7,B,20
1,9,8,B,20
1,10,9,B,0
1,11,10,B,60
1,12,11,B,60
1,13,12,B,60
2,1,0,A,40
2,2,1,A,40
2,3,2,A,0
2,4,3,A,40
2,5,4,B,0
2,6,5,B,40
2,7,6,B,40
2,8,7,B,40
2,9,8,B,60
2,10,9,B,100
2,11,10,B,80
2,12,11,B,100
2,13,12,B,100
3,1,0,A,0
3,2,1,A,40
3,3,2,A,0
3,4,3,B,100
3,5,4,B,80
3,6,5,B,80
3,7,6,B,60
3,8,7,B,100
3,9,8,B,60
3,10,9,B,100
3,11,10,B,80
3,12,11,B,80
